entity_name,technique_id_seq,num_techniques,motive,source,source_type
Lazarus_2,T1566 -> T1059 -> T1204 -> T1569 -> T1543 -> T1547 -> T1543 -> T1112 -> T1557 -> T1135 -> T1057 -> T1016 -> T1033 -> T1049 -> T1082 -> T1083 -> T1007 -> T1021 -> T1560 -> T1071 -> T1132 -> T1104 -> T1572 -> T1090 -> T1041 -> T1140 -> T1070 -> T1036,28,Espionage,https://ics-cert.kaspersky.com/publications/reports/2021/02/25/lazarus-targets-defense-industry-with-threatneedle/,bounded_incident
Royal,T1566 -> T1059 -> T1112 -> T1069 -> T1018 -> T1570 -> T1095 -> T1567 -> T1490 -> T1486 -> T1562,11,Financial,https://www.trendmicro.com/vinfo/us/security/news/ransomware-spotlight/ransomware-spotlight-royal,bounded_incident
Void Rabisu,T1583 -> T1566 -> T1546 -> T1555 -> T1113 -> T1571 -> T1071 -> T1219 -> T1027,9,Espionage,https://www.trendmicro.com/en_us/research/23/e/void-rabisu-s-use-of-romcom-backdoor-shows-a-growing-shift-in-th.html,bounded_incident
Shedding_Zmiy_Case1,T1566 -> T1190 -> T1078 -> T1569 -> T1059 -> T1053 -> T1136 -> T1543 -> T1547 -> T1505 -> T1112 -> T1003 -> T1555 -> T1033 -> T1016 -> T1046 -> T1057 -> T1010 -> T1518 -> T1021 -> T1210 -> T1550 -> T1570 -> T1560 -> T1005 -> T1132 -> T1219 -> T1567 -> T1036 -> T1562 -> T1140 -> T1620 -> T1070,33,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/,bounded_incident
Shedding_Zmiy_Case2,T1566 -> T1199 -> T1078 -> T1059 -> T1204 -> T1053 -> T1574 -> T1136 -> T1037 -> T1547 -> T1082 -> T1033 -> T1021 -> T1560 -> T1219 -> T1572 -> T1070 -> T1140,18,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/,bounded_incident
Shedding_Zmiy_Case3,T1190 -> T1059 -> T1574 -> T1053 -> T1543 -> T1090 -> T1573 -> T1014 -> T1070,9,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/,bounded_incident
Shedding_Zmiy_Case4,T1199 -> T1078 -> T1059 -> T1569 -> T1053 -> T1574 -> T1136 -> T1543 -> T1112 -> T1068 -> T1558 -> T1018 -> T1615 -> T1087 -> T1482 -> T1046 -> T1021 -> T1090 -> T1070 -> T1036,20,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/,bounded_incident
Shedding_Zmiy_Case6,T1190 -> T1078 -> T1059 -> T1053 -> T1574 -> T1505 -> T1558 -> T1021 -> T1090 -> T1562 -> T1036,11,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/,bounded_incident
Shedding_Zmiy_Case7,T1190 -> T1078 -> T1059 -> T1574 -> T1543 -> T1548 -> T1552 -> T1110 -> T1046 -> T1021 -> T1090 -> T1105 -> T1071 -> T1070 -> T1564,15,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/,bounded_incident
FrostBeacon,T1566 -> T1204 -> T1059 -> T1055 -> T1082 -> T1016 -> T1090 -> T1071 -> T1105 -> T1221 -> T1027 -> T1140,12,Financial,https://www.seqrite.com/blog/operation-frostbeacon-multi-cluster-cobalt-strike-campaign-targets-russia/,bounded_incident
Turla_armenian,T1189 -> T1204 -> T1053 -> T1016 -> T1057 -> T1082 -> T1071 -> T1573 -> T1571 -> T1041,10,Espionage,https://www.trendmicro.com/en_us/research/23/i/examining-the-activities-of-the-turla-group.html,bounded_incident
Turla_Comrat,T1059 -> T1053 -> T1112 -> T1055 -> T1069 -> T1033 -> T1082 -> T1083 -> T1087 -> T1120 -> T1135 -> T1016 -> T1213 -> T1573 -> T1071 -> T1102 -> T1048 -> T1027,18,Espionage,https://www.trendmicro.com/en_us/research/23/i/examining-the-activities-of-the-turla-group.html,bounded_incident
Turla_Crutch,T1078 -> T1053 -> T1574 -> T1120 -> T1025 -> T1074 -> T1119 -> T1560 -> T1008 -> T1071 -> T1102 -> T1020 -> T1041 -> T1567 -> T1036,15,Espionage,https://www.trendmicro.com/en_us/research/23/i/examining-the-activities-of-the-turla-group.html,bounded_incident
Salt Typhoon,T1595 -> T1590 -> T1583 -> T1584 -> T1588 -> T1190 -> T1199 -> T1569 -> T1609 -> T1059 -> T1610 -> T1136 -> T1543 -> T1098 -> T1556 -> T1068 -> T1040 -> T1003 -> T1110 -> T1082 -> T1016 -> T1021 -> T1560 -> T1602 -> T1005 -> T1090 -> T1071 -> T1571 -> T1572 -> T1095 -> T1048 -> T1027 -> T1562 -> T1070 -> T1599,35,Espionage,https://www.cyber.gov.au/about-us/view-all-content/alerts-and-advisories/countering-chinese-state-sponsored-actors-compromise-of-networks-worldwide-to-feed-global-espionage-system,bounded_incident
Zimbra,T1589 -> T1593 -> T1595 -> T1596 -> T1597 -> T1583 -> T1587 -> T1588 -> T1608 -> T1078 -> T1199 -> T1566 -> T1078 -> T1203 -> T1098 -> T1556 -> T1557 -> T1087 -> T1550 -> T1074 -> T1114 -> T1119 -> T1185 -> T1560 -> T1048 -> T1027,26,Espionage,https://www.cyber.gov.au/about-us/view-all-content/alerts-and-advisories/russian-state-supported-cyber-actors-conduct-phishing-campaign-targeting-users-of-zimbra-collaboration-suite,bounded_incident
Interlock,T1189 -> T1078 -> T1059 -> T1204 -> T1547 -> T1555 -> T1056 -> T1558 -> T1033 -> T1082 -> T1007 -> T1016 -> T1021 -> T1530 -> T1105 -> T1219 -> T1567 -> T1048 -> T1486 -> T1657 -> T1036 -> T1218 -> T1070,23,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-203a,bounded_incident
LummaC2,T1566 -> T1106 -> T1012 -> T1217 -> T1119 -> T1071 -> T1105 -> T1027 -> T1036 -> T1140,10,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-141b,bounded_incident
Medusa,T1190 -> T1566 -> T1059 -> T1072 -> T1569 -> T1047 -> T1136 -> T1003 -> T1046 -> T1083 -> T1135 -> T1016 -> T1082 -> T1069 -> T1021 -> T1105 -> T1071 -> T1219 -> T1567 -> T1486 -> T1490 -> T1657 -> T1529 -> T1489 -> T1070 -> T1027 -> T1070 -> T1562,28,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-071a,bounded_incident
Ghost,T1190 -> T1047 -> T1059 -> T1098 -> T1136 -> T1505 -> T1068 -> T1134 -> T1003 -> T1018 -> T1057 -> T1087 -> T1135 -> T1518 -> T1071 -> T1105 -> T1132 -> T1573 -> T1041 -> T1567 -> T1486 -> T1490 -> T1562 -> T1564,24,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa25-050a,bounded_incident
RansomHub1,T1588 -> T1566 -> T1190 -> T1059 -> T1047 -> T1059 -> T1136 -> T1098 -> T1003 -> T1110 -> T1018 -> T1046 -> T1021 -> T1210 -> T1219 -> T1048 -> T1537 -> T1048 -> T1486 -> T1490 -> T1036 -> T1070 -> T1562,23,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-242a,bounded_incident
Andariel,T1591 -> T1592 -> T1595 -> T1596 -> T1587 -> T1190 -> T1059 -> T1003 -> T1083 -> T1087 -> T1021 -> T1560 -> T1039 -> T1560 -> T1090 -> T1572 -> T1071 -> T1090 -> T1048 -> T1567 -> T1027,21,Espionage,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-207a,bounded_incident
BlackBasta,T1566 -> T1190 -> T1204 -> T1059 -> T1068 -> T1490 -> T1486 -> T1036 -> T1562,9,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-131a,bounded_incident
Akira,T1078 -> T1133 -> T1190 -> T1566 -> T1059 -> T1569 -> T1098 -> T1136 -> T1068 -> T1003 -> T1110 -> T1555 -> T1016 -> T1018 -> T1046 -> T1057 -> T1069 -> T1082 -> T1087 -> T1482 -> T1021 -> T1550 -> T1560 -> T1090 -> T1105 -> T1219 -> T1572 -> T1048 -> T1537 -> T1567 -> T1486 -> T1490 -> T1657 -> T1027 -> T1036 -> T1222 -> T1562 -> T1604,38,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-109a,bounded_incident
