entity_name,technique_id_seq,num_techniques,motive,source,source_type
Lockbit,T1189 -> T1190 -> T1133 -> T1566 -> T1078 -> T1059 -> T1072 -> T1569 -> T1547 -> T1548 -> T1484 -> T1110 -> T1555 -> T1003 -> T1046 -> T1082 -> T1614 -> T1021 -> T1560 -> T1071 -> T1095 -> T1572 -> T1219 -> T1567 -> T1485 -> T1486 -> T1491 -> T1490 -> T1489 -> T1480 -> T1562 -> T1070 -> T1027,33,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-165a,bounded_incident
Zeppelin,T1133 -> T1190 -> T1566 -> T1204 -> T1543 -> T1486,6,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-223a,bounded_incident
Bazarloader,T1566 -> T1078 -> T1059 -> T1204 -> T1059 -> T1204 -> T1136 -> T1055 -> T1003 -> T1087 -> T1482 -> T1087 -> T1083 -> T1057 -> T1135 -> T1018 -> T1518 -> T1033 -> T1124 -> T1570 -> T1021 -> T1005 -> T1039 -> T1074 -> T1218,25,Financial,https://thedfirreport.com/2021/10/04/bazarloader-and-the-conti-leaks/,bounded_incident
Phobos,T1593 -> T1595 -> T1598 -> T1585 -> T1588 -> T1078 -> T1133 -> T1566 -> T1047 -> T1059 -> T1106 -> T1204 -> T1547 -> T1055 -> T1134 -> T1003 -> T1110 -> T1555 -> T1057 -> T1082 -> T1083 -> T1087 -> T1560 -> T1001 -> T1071 -> T1105 -> T1219 -> T1048 -> T1567 -> T1486 -> T1490 -> T1657 -> T1027 -> T1140 -> T1218 -> T1562,36,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa24-060a,bounded_incident
APT28,T1584 -> T1669 -> T1059 -> T1110 -> T1003 -> T1016 -> T1021 -> T1560 -> T1074 -> T1090 -> T1567 -> T1561 -> T1140 -> T1006 -> T1686,15,Espionage,https://attack.mitre.org/campaigns/C0051/,bounded_incident
AppleJeus,T1189 -> T1195 -> T1078 -> T1203 -> T1574 -> T1559 -> T1543 -> T1546 -> T1055 -> T1217 -> T1071 -> T1573 -> T1102 -> T1678 -> T1027 -> T1620 -> T1553 -> T1218,18,Financial,https://attack.mitre.org/campaigns/C0057/,bounded_incident
Unknown2,T1078 -> T1047 -> T1059 -> T1129 -> T1569 -> T1574 -> T1543 -> T1497 -> T1016 -> T1033 -> T1049 -> T1057 -> T1082 -> T1083 -> T1497 -> T1021 -> T1560 -> T1039 -> T1074 -> T1095 -> T1105 -> T1090 -> T1029 -> T1567 -> T1036 -> T1070 -> T1562,27,Espionage,https://www.cisa.gov/news-events/cybersecurity-advisories/aa22-277a,bounded_incident
Snatch,T1590 -> T1583 -> T1078 -> T1133 -> T1078 -> T1059 -> T1569 -> T1112 -> T1110 -> T1012 -> T1057 -> T1021 -> T1005 -> T1071 -> T1486 -> T1490 -> T1036 -> T1070 -> T1562,19,Financial,https://www.cisa.gov/news-events/cybersecurity-advisories/aa23-263a,bounded_incident
Zimbra,T1589 -> T1593 -> T1595 -> T1596 -> T1597 -> T1583 -> T1587 -> T1588 -> T1608 -> T1078 -> T1199 -> T1566 -> T1078 -> T1203 -> T1098 -> T1556 -> T1557 -> T1087 -> T1550 -> T1074 -> T1114 -> T1119 -> T1185 -> T1560 -> T1048 -> T1027,26,Espionage,https://www.cyber.gov.au/about-us/view-all-content/alerts-and-advisories/russian-state-supported-cyber-actors-conduct-phishing-campaign-targeting-users-of-zimbra-collaboration-suite,bounded_incident
Conti2,T1059 -> T1569 -> T1136 -> T1055 -> T1484 -> T1134 -> T1003 -> T1033 -> T1069 -> T1018 -> T1046 -> T1087 -> T1021 -> T1550 -> T1021 -> T1090 -> T1071 -> T1486 -> T1562,19,Financial,https://thedfirreport.com/2021/05/12/conti-ransomware/,bounded_incident
