entity_name,technique_id_seq,num_techniques,motive,source
Handala,T1133 -> T1078.002 -> T1199 -> T1110 -> T1003.001 -> T1003.002 -> T1087.002 -> T1021.001 -> T1572 -> T1105 -> T1047 -> T1484.001 -> T1037.003 -> T1053.005 -> T1059.001 -> T1561.002 -> T1485 -> T1486,18,Sabotage,https://research.checkpoint.com/2026/handala-hack-unveiling-groups-modus-operandi/
Lazarus_2,T1566.002 -> T1059.003 -> T1204.002 -> T1569.002 -> T1543.003 -> T1547.001 -> T1543.003 -> T1140 -> T1070.002 -> T1070.003 -> T1070.004 -> T1036.003 -> T1036.004 -> T1112 -> T1557.001 -> T1135 -> T1057 -> T1016 -> T1033 -> T1049 -> T1082 -> T1083 -> T1007 -> T1021.002 -> T1560.001 -> T1071.001 -> T1132.002 -> T1104 -> T1572 -> T1090.001 -> T1041,31,Espionage,https://ics-cert.kaspersky.com/publications/reports/2021/02/25/lazarus-targets-defense-industry-with-threatneedle/
Royal,T1566 -> T1059 -> T1112 -> T1562.001 -> T1069 -> T1018 -> T1570 -> T1095 -> T1567 -> T1490 -> T1486,11,Financial,https://www.trendmicro.com/vinfo/us/security/news/ransomware-spotlight/ransomware-spotlight-royal
Void Rabisu,T1583.008 -> T1566.002 -> T1546.015 -> T1027.002 -> T1027.001 -> T1555.003 -> T1113 -> T1571 -> T1071.001 -> T1219,10,Espionage,https://www.trendmicro.com/en_us/research/23/e/void-rabisu-s-use-of-romcom-backdoor-shows-a-growing-shift-in-th.html
Shedding_Zmiy_Case1,T1566.001 -> T1190 -> T1569.002 -> T1059.001 -> T1059.003 -> T1059.005 -> T1136.001 -> T1078.002 -> T1543.003 -> T1547.001 -> T1505.003 -> T1053.005 -> T1036.005 -> T1562.001 -> T1140 -> T1620 -> T1070.001 -> T1112 -> T1003.001 -> T1003.003 -> T1003.005 -> T1555.005 -> T1033 -> T1016 -> T1046 -> T1057 -> T1010 -> T1518.001 -> T1021.001 -> T1021.002 -> T1021.006 -> T1210 -> T1550.002 -> T1570 -> T1560.001 -> T1005 -> T1132.001 -> T1219 -> T1567.002,39,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/
Shedding_Zmiy_Case2,T1566.001 -> T1199 -> T1059.001 -> T1059.003 -> T1059.005 -> T1059.010 -> T1204.002 -> T1078.002 -> T1136.001 -> T1037.001 -> T1547.001 -> T1053.005 -> T1574.002 -> T1070.004 -> T1140 -> T1082 -> T1033 -> T1021.001 -> T1560.001 -> T1219 -> T1572,21,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/
Shedding_Zmiy_Case3,T1190 -> T1059.004 -> T1059.006 -> T1574.006 -> T1543.002 -> T1053.003 -> T1014 -> T1070.004 -> T1090 -> T1573.001 -> T1573.002,11,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/
Shedding_Zmiy_Case4,T1199 -> T1059.001 -> T1059.004 -> T1569.002 -> T1078.002 -> T1136.001 -> T1053.003 -> T1543.003 -> T1068 -> T1112 -> T1574.002 -> T1070.002 -> T1070.006 -> T1036.004 -> T1036.005 -> T1558 -> T1018 -> T1615 -> T1087.002 -> T1482 -> T1046 -> T1021.001 -> T1021.002 -> T1021.004 -> T1021.006 -> T1090.002,26,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/
Shedding_Zmiy_Case6,T1190 -> T1059.001 -> T1059.003 -> T1053.005 -> T1078.002 -> T1505.003 -> T1505.004 -> T1574.002 -> T1562.004 -> T1036.004 -> T1558 -> T1021.001 -> T1021.002 -> T1090.002,14,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/
Shedding_Zmiy_Case7,T1190 -> T1059.004 -> T1059 -> T1574.006 -> T1543.002 -> T1078.002 -> T1548.001 -> T1070.002 -> T1564.010 -> T1552.004 -> T1110 -> T1046 -> T1021.004 -> T1090 -> T1105 -> T1071.001,16,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/
FrostBeacon,T1566.001 -> T1204.002 -> T1221 -> T1059.003 -> T1027 -> T1140 -> T1055 -> T1082 -> T1016 -> T1090 -> T1071.001 -> T1105,12,Financial,https://www.seqrite.com/blog/operation-frostbeacon-multi-cluster-cobalt-strike-campaign-targets-russia/
ZeroCleare,T1068 -> T1059.001 -> T1059 -> T1553.002 -> T1070.004 -> T1106 -> T1680 -> T1561.002,8,Sabotage,https://gold.safeguard.sh/attack/software/S1151
