entity_name,technique_id_seq,num_techniques,motive,source,source_type
APT12,T1566 -> T1203 -> T1204 -> T1102 -> T1568,5,Espionage,Tropchaud,aggregate
The White Company,T1566 -> T1204 -> T1203 -> T1124 -> T1518 -> T1027 -> T1070,7,Espionage,Tropchaud,aggregate
Trigona,T1078 -> T1133 -> T1059 -> T1112 -> T1547 -> T1018 -> T1069 -> T1033 -> T1135 -> T1083 -> T1021 -> T1570 -> T1105 -> T1567 -> T1486 -> T1562,16,Financial,https://thedfirreport.com/2024/01/29/buzzing-on-christmas-eve-trigona-ransomware-in-3-hours/,bounded_incident
Night Dragon,T1587 -> T1588 -> T1566 -> T1190 -> T1133 -> T1078 -> T1204 -> T1003 -> T1550 -> T1074 -> T1219 -> T1043 -> T1071 -> T1027 -> T1562 -> T1027,16,Espionage,Tropchaud,aggregate
Shedding_Zmiy_Case3,T1190 -> T1059 -> T1574 -> T1053 -> T1543 -> T1090 -> T1573 -> T1014 -> T1070,9,Espionage,https://rt-solar.ru/solar-4rays/blog/4333/,bounded_incident
Axiom,T1583 -> T1584 -> T1190 -> T1078 -> T1189 -> T1566 -> T1203 -> T1546 -> T1003 -> T1021 -> T1563 -> T1005 -> T1560 -> T1001 -> T1553,15,Espionage,Tropchaud,aggregate
UNC6040,T1598 -> T1586 -> T1587 -> T1585 -> T1588 -> T1608 -> T1078 -> T1059 -> T1671 -> T1083 -> T1213 -> T1090 -> T1020 -> T1567 -> T1036 -> T1684,16,Financial,https://attack.mitre.org/campaigns/C0059/,bounded_incident
Akira2,T1189 -> T1574 -> T1204 -> T1059 -> T1569 -> T1059 -> T1047 -> T1136 -> T1543 -> T1055 -> T1555 -> T1003 -> T1087 -> T1069 -> T1482 -> T1083 -> T1087 -> T1069 -> T1046 -> T1135 -> T1018 -> T1082 -> T1033 -> T1021 -> T1039 -> T1568 -> T1090 -> T1219 -> T1071 -> T1041 -> T1048 -> T1486 -> T1490 -> T1036 -> T1070 -> T1027,36,Financial,https://thedfirreport.com/2026/06/29/from-bing-search-to-ransomware-bumblebee-and-adaptixc2-deliver-akira-3/,bounded_incident
BRONZE BUTLER,T1588 -> T1189 -> T1566 -> T1059 -> T1053 -> T1574 -> T1204 -> T1059 -> T1203 -> T1059 -> T1053 -> T1547 -> T1548 -> T1003 -> T1124 -> T1018 -> T1083 -> T1007 -> T1087 -> T1518 -> T1550 -> T1080 -> T1039 -> T1005 -> T1560 -> T1113 -> T1071 -> T1102 -> T1573 -> T1105 -> T1132 -> T1027 -> T1036 -> T1562 -> T1036 -> T1070 -> T1140 -> T1027 -> T1036,39,Espionage,Tropchaud,aggregate
Threat Group-3390,T1608 -> T1588 -> T1608 -> T1078 -> T1133 -> T1189 -> T1199 -> T1195 -> T1190 -> T1566 -> T1574 -> T1047 -> T1053 -> T1059 -> T1203 -> T1204 -> T1059 -> T1543 -> T1112 -> T1547 -> T1505 -> T1548 -> T1055 -> T1068 -> T1003 -> T1555 -> T1003 -> T1056 -> T1012 -> T1046 -> T1016 -> T1018 -> T1033 -> T1087 -> T1049 -> T1021 -> T1210 -> T1119 -> T1560 -> T1074 -> T1005 -> T1105 -> T1043 -> T1071 -> T1567 -> T1030 -> T1070 -> T1027 -> T1140 -> T1562 -> T1070 -> T1027,52,Espionage,Tropchaud,aggregate
Darkhotel,T1189 -> T1566 -> T1091 -> T1204 -> T1203 -> T1059 -> T1547 -> T1056 -> T1518 -> T1497 -> T1082 -> T1016 -> T1057 -> T1083 -> T1497 -> T1124 -> T1080 -> T1105 -> T1573 -> T1553 -> T1140 -> T1027 -> T1036,23,Espionage,Tropchaud,aggregate
WinntiGroup,T1588 -> T1190 -> T1133 -> T1078 -> T1059 -> T1574 -> T1053 -> T1547 -> T1543 -> T1505 -> T1003 -> T1087 -> T1083 -> T1135 -> T1201 -> T1120 -> T1069 -> T1057 -> T1018 -> T1082 -> T1016 -> T1049 -> T1033 -> T1007 -> T1124 -> T1560 -> T1005 -> T1071 -> T1036 -> T1027,30,Espionage,https://attack.mitre.org/campaigns/C0012/,bounded_incident
UNC2452,T1584 -> T1587 -> T1583 -> T1195 -> T1190 -> T1133 -> T1078 -> T1053 -> T1059 -> T1047 -> T1098 -> T1546 -> T1484 -> T1606 -> T1552 -> T1003 -> T1558 -> T1606 -> T1555 -> T1016 -> T1069 -> T1082 -> T1482 -> T1018 -> T1087 -> T1057 -> T1083 -> T1021 -> T1550 -> T1114 -> T1074 -> T1560 -> T1005 -> T1071 -> T1105 -> T1568 -> T1090 -> T1048 -> T1036 -> T1070 -> T1140 -> T1562 -> T1036 -> T1070 -> T1027 -> T1036 -> T1553 -> T1218 -> T1070,49,Espionage,Tropchaud,aggregate
Naikon,T1078 -> T1566 -> T1053 -> T1204 -> T1047 -> T1574 -> T1137 -> T1547 -> T1518 -> T1046 -> T1016 -> T1018 -> T1036,13,Espionage,Tropchaud,aggregate
Suckfly,T1078 -> T1059 -> T1003 -> T1046 -> T1553,5,Espionage,Tropchaud,aggregate
Unknown3,T1588 -> T1190 -> T1059 -> T1072 -> T1047 -> T1046 -> T1016 -> T1033 -> T1570 -> T1021 -> T1071 -> T1105 -> T1571 -> T1219 -> T1486 -> T1036 -> T1027 -> T1218,18,Financial,https://attack.mitre.org/campaigns/C0018/,bounded_incident
APT32,T1589 -> T1598 -> T1589 -> T1608 -> T1583 -> T1585 -> T1583 -> T1588 -> T1608 -> T1189 -> T1078 -> T1566 -> T1059 -> T1569 -> T1059 -> T1204 -> T1072 -> T1204 -> T1574 -> T1047 -> T1053 -> T1059 -> T1203 -> T1543 -> T1112 -> T1547 -> T1137 -> T1505 -> T1068 -> T1055 -> T1056 -> T1003 -> T1552 -> T1003 -> T1087 -> T1049 -> T1018 -> T1046 -> T1016 -> T1135 -> T1033 -> T1082 -> T1083 -> T1012 -> T1550 -> T1570 -> T1021 -> T1550 -> T1560 -> T1105 -> T1065 -> T1571 -> T1094 -> T1071 -> T1102 -> T1071 -> T1048 -> T1041 -> T1036 -> T1216 -> T1027 -> T1036 -> T1564 -> T1218 -> T1070 -> T1218 -> T1564 -> T1222 -> T1070 -> T1564 -> T1036 -> T1027 -> T1070 -> T1036 -> T1218,75,Espionage,Tropchaud,aggregate
Rocke,T1190 -> T1053 -> T1059 -> T1574 -> T1543 -> T1037 -> T1547 -> T1055 -> T1552 -> T1046 -> T1057 -> T1018 -> T1082 -> T1518 -> T1021 -> T1071 -> T1105 -> T1102 -> T1571 -> T1496 -> T1070 -> T1562 -> T1027 -> T1070 -> T1222 -> T1027 -> T1014 -> T1070 -> T1140 -> T1564 -> T1036 -> T1562,32,Financial,Tropchaud,aggregate
