entity_name,technique_id_seq,num_techniques,motive,source,source_type
UNC2452,T1584.001 -> T1587.001 -> T1583.001 -> T1195.002 -> T1190 -> T1133 -> T1078 -> T1053.005 -> T1059.001 -> T1059.003 -> T1047 -> T1098.002 -> T1098.001 -> T1546.003 -> T1484.002 -> T1606.001 -> T1552.004 -> T1003.006 -> T1558.003 -> T1606.002 -> T1555 -> T1016.001 -> T1069 -> T1082 -> T1482 -> T1018 -> T1087 -> T1057 -> T1083 -> T1021.006 -> T1550.004 -> T1550 -> T1114.002 -> T1074.002 -> T1560.001 -> T1005 -> T1071.001 -> T1105 -> T1568 -> T1090.001 -> T1048.002 -> T1036 -> T1070.004 -> T1140 -> T1562.002 -> T1562.004 -> T1562.001 -> T1036.005 -> T1070.006 -> T1027 -> T1036.004 -> T1553.002 -> T1218.011 -> T1070,54,Espionage,Tropchaud,aggregate
Cleaver,T1588.002 -> T1587.001 -> T1585.001 -> T1003.001 -> T1557.002,5,Espionage,Tropchaud,aggregate
GCMAN,T1021.005 -> T1021.004,2,Financial,Tropchaud,aggregate
Wizard Spider,T1588.003 -> T1588.002 -> T1566.001 -> T1078.002 -> T1566.002 -> T1078 -> T1133 -> T1053.005 -> T1059.003 -> T1569.002 -> T1047 -> T1204.002 -> T1059.001 -> T1204.001 -> T1547.001 -> T1112 -> T1547.004 -> T1543.003 -> T1055.001 -> T1557.001 -> T1003.003 -> T1558.003 -> T1003.002 -> T1033 -> T1518.001 -> T1018 -> T1087.002 -> T1135 -> T1082 -> T1016 -> T1021.002 -> T1021.001 -> T1570 -> T1021.006 -> T1210 -> T1074 -> T1071.001 -> T1048.003 -> T1041 -> T1489 -> T1070.004 -> T1222.001 -> T1553.002 -> T1027 -> T1562.001 -> T1036.004,46,Financial,Tropchaud,aggregate
Magic Hound,T1595.002 -> T1589.001 -> T1598.003 -> T1589.002 -> T1589 -> T1586.002 -> T1583.001 -> T1583.006 -> T1588.002 -> T1585.001 -> T1585.002 -> T1584.001 -> T1566.002 -> T1189 -> T1566.003 -> T1190 -> T1059.003 -> T1059.005 -> T1204.001 -> T1204.002 -> T1059.001 -> T1547.001 -> T1098.002 -> T1056.001 -> T1003.001 -> T1057 -> T1033 -> T1016 -> T1083 -> T1082 -> T1560.001 -> T1113 -> T1114.001 -> T1114 -> T1071 -> T1102.002 -> T1105 -> T1043 -> T1071.001 -> T1571 -> T1065 -> T1564.003 -> T1070.004 -> T1027,44,Espionage,Tropchaud,aggregate
Threat Group-3390,T1608.002 -> T1588.002 -> T1608.004 -> T1608.001 -> T1078 -> T1133 -> T1189 -> T1199 -> T1195.002 -> T1190 -> T1566.001 -> T1574.001 -> T1574.002 -> T1047 -> T1053.002 -> T1059.001 -> T1203 -> T1204.002 -> T1059.003 -> T1543.003 -> T1112 -> T1547.001 -> T1505.003 -> T1548.002 -> T1055.012 -> T1068 -> T1003.002 -> T1555.005 -> T1003.001 -> T1003.004 -> T1056.001 -> T1012 -> T1046 -> T1016 -> T1018 -> T1033 -> T1087.001 -> T1049 -> T1021.006 -> T1210 -> T1119 -> T1560.002 -> T1074.002 -> T1074.001 -> T1005 -> T1105 -> T1043 -> T1071.001 -> T1567.002 -> T1030 -> T1070.004 -> T1027.002 -> T1140 -> T1562.002 -> T1070.005 -> T1027,56,Espionage,Tropchaud,aggregate
Silence,T1588.002 -> T1078 -> T1566.001 -> T1059.003 -> T1106 -> T1059.001 -> T1059.007 -> T1059.005 -> T1053.005 -> T1072 -> T1204.002 -> T1569.002 -> T1547.001 -> T1112 -> T1055 -> T1003.001 -> T1018 -> T1021.001 -> T1113 -> T1125 -> T1090.002 -> T1105 -> T1571 -> T1553.002 -> T1218.001 -> T1027 -> T1036.005 -> T1070.004,28,Financial,Tropchaud,aggregate
Lazarus Group,T1591.004 -> T1593.001 -> T1589.002 -> T1591 -> T1587.001 -> T1584.001 -> T1588.002 -> T1584.004 -> T1585.002 -> T1585.001 -> T1583.004 -> T1588.003 -> T1608.001 -> T1583.001 -> T1583.006 -> T1608.002 -> T1588.004 -> T1566.002 -> T1566.003 -> T1189 -> T1078 -> T1566.001 -> T1059.001 -> T1204.002 -> T1059.005 -> T1203 -> T1106 -> T1574.002 -> T1053.005 -> T1059.003 -> T1204.001 -> T1047 -> T1574.013 -> T1543.003 -> T1547.009 -> T1098 -> T1542.003 -> T1547.001 -> T1134.002 -> T1055.001 -> T1110.003 -> T1110 -> T1056.001 -> T1557.001 -> T1124 -> T1046 -> T1049 -> T1087.002 -> T1082 -> T1016 -> T1497.001 -> T1614.001 -> T1012 -> T1010 -> T1033 -> T1057 -> T1083 -> T1021.001 -> T1021.004 -> T1021.002 -> T1534 -> T1560.002 -> T1074.001 -> T1560.003 -> T1005 -> T1560 -> T1065 -> T1090.001 -> T1105 -> T1104 -> T1001.003 -> T1026 -> T1071.001 -> T1043 -> T1132.001 -> T1090.002 -> T1573.001 -> T1102.002 -> T1571 -> T1008 -> T1041 -> T1048.003 -> T1567.002 -> T1491.001 -> T1561.001 -> T1561.002 -> T1485 -> T1529 -> T1489 -> T1620 -> T1202 -> T1562.004 -> T1036.004 -> T1218.011 -> T1036.003 -> T1220 -> T1036.005 -> T1562.001 -> T1218.005 -> T1218 -> T1027.002 -> T1140 -> T1564.001 -> T1070.006 -> T1070.004 -> T1036 -> T1070.003 -> T1553.002 -> T1070 -> T1221 -> T1027 -> T1218.010,112,Espionage,Tropchaud,aggregate
APT41,T1588.002 -> T1133 -> T1195.002 -> T1566.001 -> T1190 -> T1078 -> T1574.001 -> T1203 -> T1574.002 -> T1059.003 -> T1569.002 -> T1053.005 -> T1574.006 -> T1059.004 -> T1197 -> T1047 -> T1059.001 -> T1542.003 -> T1547.001 -> T1112 -> T1546.008 -> T1136.001 -> T1543.003 -> T1055 -> T1056.001 -> T1110.002 -> T1003.001 -> T1083 -> T1049 -> T1046 -> T1135 -> T1016 -> T1033 -> T1021.001 -> T1021.002 -> T1560.001 -> T1005 -> T1105 -> T1071.004 -> T1071.002 -> T1008 -> T1104 -> T1102.001 -> T1568.002 -> T1090 -> T1071.001 -> T1496 -> T1486 -> T1218.011 -> T1070.001 -> T1480.001 -> T1218.001 -> T1036.005 -> T1070.004 -> T1070.003 -> T1553.002 -> T1014 -> T1027 -> T1036.004,59,Financial,Tropchaud,aggregate
BlackTech,T1588.003 -> T1588.002 -> T1588.004 -> T1566.001 -> T1566.002 -> T1190 -> T1204.002 -> T1204.001 -> T1203 -> T1574.002 -> T1106 -> T1046 -> T1021.004 -> T1036.002,14,Espionage,Tropchaud,aggregate
Higaisa,T1566.001 -> T1053.005 -> T1203 -> T1059.005 -> T1106 -> T1059.007 -> T1574.002 -> T1204.002 -> T1059.003 -> T1547.001 -> T1057 -> T1016 -> T1082 -> T1124 -> T1573.001 -> T1001.003 -> T1090.001 -> T1071.001 -> T1041 -> T1029 -> T1140 -> T1220 -> T1036.004 -> T1564.003 -> T1027.001 -> T1027,26,Espionage,Tropchaud,aggregate
